source_id,display_name,type,mean_citedness_2yr,works_count,h_index
S113000259,Polish Sociological Review,journal,0.0,,17
S113020877,Social Epistemology,journal,2.752808988764045,,61
S113116626,Gender & Society,journal,1.0751173708920188,,173
S1131227,Methods in Ecology and Evolution,journal,4.057315233785822,,229
S113184965,Deviant Behavior,journal,1.9871520342612419,,93
S113297301,Handbook of clinical neurology,book series,1.7528455284552846,,128
S113337084,Projections,journal,0.21153846153846154,,27
S11350316,Wirtschaftsdienst,journal,0.4503424657534247,,23
S113666273,Languages in Contrast,journal,0.6,,33
S113737002,Pragmatics Quarterly Publication of the International Pragmatics Association (IPrA),journal,1.2976190476190477,,73
S113871862,Journal of Affective Disorders,journal,4.790865842055186,,308
S114020440,Current Directions in Psychological Science,journal,6.223880597014926,,284
S114076160,Utilities Policy,journal,4.069473684210526,,87
S114141255,Early Childhood Research Quarterly,journal,2.5266457680250785,,173
S114257564,Psychosomatics,journal,0.0,,165
S114265899,Memory & Cognition,journal,1.813397129186603,,234
S114278030,Psychologica Belgica,journal,2.135135135135135,,54
S114289926,Journal of Sex & Marital Therapy,journal,1.5812807881773399,,120
S114339905,Social Psychology,journal,1.2698412698412698,,64
S114479970,Journal of Computer Assisted Tomography,journal,1.1323529411764706,,159
S114504424,Language Teaching,journal,4.267605633802817,,128
S1145265,Journal of Constructivist Psychology,journal,1.3064516129032258,,49
S114530997,Annals of Neurology,journal,4.98444976076555,,439
S114689480,Journal of Molecular Medicine,journal,4.6925675675675675,,200
S114840262,Educational Technology Research and Development,journal,6.908831908831909,,173
S114852576,Journal of Agricultural Education,journal,1.064516129032258,,59
S114898993,Australian and New Zealand Journal of Family Therapy,journal,0.8766233766233766,,40
S114966740,Trends in Neurosciences,journal,7.56797583081571,,442
S115201632,Frontiers in Neuroscience,journal,4.096064456151224,,225
S115217459,Cochlear Implants International,journal,1.1550387596899225,,50
S115248504,Social Psychology of Education,journal,3.153246753246753,,100
S115427279,Public Health Nutrition,journal,2.619718309859155,,209
S115516119,Journal of Genetics,journal,1.275,,106
S115516397,Revue économique,journal,0.4247787610619469,,91
S115626870,International Journal of Social Psychology Revista de Psicología Social,journal,0.7361111111111112,,37
S115629255,French Studies,journal,0.011278195488721804,,60
S11564597,Transplantation,journal,1.2336879432624113,,279
S115649667,International Review of Sport and Exercise Psychology,journal,6.190476190476191,,83
S116012647,Annals of Emergency Medicine,journal,0.8509254627313657,,238
S116025658,American Journal of Psychiatry,journal,7.8,,554
S116051058,New Directions for Evaluation,journal,1.9047619047619047,,68
S116110528,Porta Linguarum Revista Interuniversitaria de Didáctica de las Lenguas Extranjeras,journal,1.7091633466135459,,34
S116196263,Cortex,journal,2.7453416149068324,,203
S116251202,Circulation,journal,2.282324535842145,,848
S116265073,International Journal of Multilingualism,journal,1.9146341463414633,,74
S116305490,Journal of Developmental & Behavioral Pediatrics,journal,1.303370786516854,,168
S116485566,Journal of Receptors and Signal Transduction,journal,1.7704918032786885,,62
S116608325,Journal of General Internal Medicine,journal,2.129745314752523,,286
S116826539,JOM,journal,1.9070484581497797,,171
S116900674,The Lancet Oncology,journal,11.470973017170891,,521
S117021518,Journal of Behavior Therapy and Experimental Psychiatry,journal,1.2845528455284554,,140
S117031645,School Psychology Review,journal,3.1136363636363638,,154
S117063503,Journal of Men s Health,journal,0.8407310704960835,,28
S11710983,Biomechanics and Modeling in Mechanobiology,journal,3.2839116719242902,,107
S117204931,Medicine Conflict & Survival,journal,0.7272727272727273,,41
S117214846,Journal of Behavioral Decision Making,journal,1.3782051282051282,,127
S117236744,Clinical Kidney Journal,journal,3.843494085532302,,91
S117312820,Ageing Research Reviews,journal,16.170517051705172,,225
S11732831,Environmental Monitoring and Assessment,journal,4.152266894781865,,182
S117381710,Periodica Polytechnica Transportation Engineering,journal,2.0583941605839415,,25
S117411352,International Journal of Remote Sensing,journal,2.609049773755656,,267
S117485531,Schizophrenia Bulletin,journal,2.4741379310344827,,298
S117498271,Cancer Chemotherapy and Pharmacology,journal,2.198051948051948,,155
S117607063,Advances in Cognitive Psychology,journal,1.3181818181818181,,51
S117680303,EUROSLA Yearbook,journal,0.0,,36
S117684900,Irish Journal of Medical Science (1971 -),journal,1.2579979360165119,,67
S117898428,Cerebral Cortex,journal,4.027833001988071,,350
S117927158,Law and Human Behavior,journal,1.7894736842105263,,153
S11800902,Postgraduate Medicine,journal,2.1462585034013606,,100
S118036144,Cyberpsychology Behavior and Social Networking,journal,4.43026706231454,,160
S118082147,Marine Biology,journal,2.2354014598540144,,216
S11810700,International Journal of Research in Marketing,journal,6.44559585492228,,166
S118198609,Emotion,journal,1.7253218884120172,,219
S118304455,Journal of Pharmacy and Pharmacology,journal,3.2309711286089238,,185
S118332200,Addiction Biology,journal,2.360655737704918,,117
S118357697,Brain,journal,8.22041166380789,,503
S118419795,Theory and Society,journal,1.8105263157894738,,136
S118428158,Frontiers in Aging Neuroscience,journal,4.599056603773585,,173
S11852655,Veterinary Parasitology,journal,2.3990825688073394,,186
S118554560,Botany,journal,0.9112903225806451,,64
S119003425,Comptes Rendus Biologies,journal,0.9354838709677419,,106
S119123570,Heart Lung and Circulation,journal,0.2874972629735056,,80
S119146558,Developmental Psychobiology,journal,1.8155339805825244,,148
S119239577,Zeitschrift für Medienpsychologie,journal,0.0,,18
S11935491,Journal of Aggression Maltreatment & Trauma,journal,1.2580645161290323,,78
S119405978,Annual Review of Ecology Evolution and Systematics,journal,9.8,,242
S119508283,D-Lib Magazine,journal,0.0,,66
S119514724,Policy Studies Journal,journal,2.7956521739130435,,124
S119722071,Annals of Internal Medicine,journal,4.647507331378299,,651
S11973042,PLANT ARCHIVES,journal,0.1655089096949562,,21
S119771102,International Journal of Language & Communication Disorders,journal,1.7139737991266375,,124
S119968383,Educational Psychology in Practice,journal,1.212962962962963,,61
S120000808,Vanderbilt law review,journal,0.0,,37
S120269741,Journal of Neuropsychology,journal,1.475,,56
S120289491,BMC Neurology,journal,2.378362573099415,,123
S120348307,Procedia Computer Science,journal,2.3750532594801874,,195
S120429970,International Studies in Sociology of Education,journal,0.9361702127659575,,59
S120459012,Harvard Studies in Classical Philology,journal,0.0,,78
S120498177,International Journal of Sexual Health,journal,1.4041666666666666,,47
S120551135,Acta Parasitologica,journal,1.373134328358209,,47
S120559332,Corpora,journal,1.2575757575757576,,50
S12065667,Microchimica Acta,journal,5.4401826484018265,,133
S120724121,Journal of Elder Abuse & Neglect,journal,1.4303797468354431,,62
S120775027,Current Opinion in Neurobiology,journal,5.0064935064935066,,309
S120888908,Statistical Methodology,journal,0.0,,48
S120991925,Telecommunications Policy,journal,5.08092485549133,,129
S121058368,Sport Management Review,journal,3.606060606060606,,105
S121100956,The Journal of Poultry Science,journal,1.7307692307692308,,50
S121203305,Infancy,journal,1.7009345794392523,,109
S121233926,Psychiatric Clinics of North America,journal,2.560344827586207,,152
S121278948,Neuroreport,journal,2.3076923076923075,,242
S121323410,Anatomical Sciences Education,journal,3.148217636022514,,105
S121360315,Behavioral Ecology,journal,2.377659574468085,,176
S121370243,Anxiety Stress & Coping,journal,2.7049180327868854,,120
S121409115,International Review of Law and Economics,journal,1.5154639175257731,,83
S121474569,Psychosis,journal,0.5576923076923077,,44
S1216394,Molecular Autism,journal,5.350318471337579,,115
S121666818,Human Brain Mapping,journal,4.690021231422505,,276
S121725775,Bone,journal,3.382425742574257,,271
S12175909,International Journal of Public Opinion Research,journal,2.3333333333333335,,86
S121762105,Neuromodulation Technology at the Neural Interface,journal,0.5283672585534863,,96
S121778365,Expert Review of Respiratory Medicine,journal,2.9465408805031448,,76
S121830084,BioScience,journal,4.914163090128755,,346
S12189451,The China Quarterly,journal,0.8282051282051283,,132
S121947241,Journal of Abnormal Psychology,journal,0.0,,353
S121997567,Language Variation and Change,journal,1.06,,107
S122176235,The American Naturalist,journal,2.658385093167702,,422
